,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
485,Marketing Intern,BEDO Company  -,"6th of October, Giza, Egypt ",Internship,Entry Level,Administration,"Marketing/PR/Advertising,Analyst/Research,Market Research,Marketing Research,Marketing,Communication,Analysis,Research,Public Relations"
486,Senior Operational Risk Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Banking,Analyst/Research,Analysis,Finance,Risk Control Self Assessment,Risk Management,Operations,Banking,Accounting"
487,Business Analyst (KSA),Ejada  -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"IT/Software Development,Analyst/Research,Analysis,business,Business Analysis"
488,FP&A Analyst,Gulfmed Egypt  -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_preferred,Accounting/Finance,Accounting,Finance,Financial Analysis,Financial Management,Financial Planning,Analysis,Communication Skills"
489,Accounting Manager,Prifix -,"Abu Rawash, Giza, Egypt ",Full Time,Manager,6 - 10 Yrs of Exp,"Accounting/Finance,Administration,Operations/Management,Financial Management,Accounting,Accounting Manager,Finance,Financial Analysis,Manager,business"
490,Accountant,Swiss Garment Company -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Finance,English,Commerce,Financial Management,Microsoft Office,Microsoft Excel,English commerce,Financial Analysis"
491,Chief Financial Officer,Universe -,"New Cairo, Cairo, Egypt ",Full Time,Senior Management,10 - 15 Yrs of Exp,"Accounting/Finance,Financial Planning,corporate strategy,Budgeting,CFO,CPA,Financial,Financial Management,Financial Analysis"
492,Senior Digital Media Buyer,TravelYalla  -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,"Marketing/PR/Advertising,Digital Marketing,Advertising,Google Analytics,Ads,Analysis,Social Media,Communication,Communication skills,Marketing"
493,Cost Manager,Growxcel -,"Dokki, Giza, Egypt ",Full Time,Manager,8 - 10 Yrs of Exp,"Accounting/Finance,Manufacturing/Production,Strategy/Consulting,Accounting,ERP,Finance,Beverage,Financial Analysis,Food,Industrial"
494,Financial Manager,Glamour Export  -,"Heliopolis, Cairo, Egypt ",Full Time,Manager,5 - 8 Yrs of Exp,"Accounting/Finance,Finance,analytical,Financial,Financial Analysis,Financial Management,Planning"
495,Financial Manager,Confidential -,"New Cairo, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,Accounting,Budget,Financial Services,Finance,Financial Manager,Financial Management,Financial Analysis"
496,Tax Manager,Midea Group -,"Smart Village, Giza, Egypt ",Full Time,Manager,9 - 15 Yrs of Exp,"Accounting/Finance,Operations/Management,Accounting,Financial Management,Finance,Financial Analysis,Tax Accounting,IFRS,English,Tax"
497,Senior Procurement Engineer - Electrical,Forward Contractors-Real Estate -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Purchasing/Procurement,Engineering - Mechanical/Electrical,Engineering - Other,Communication,Electrical Engineering,MS Office,Supply Chain,Skills,negotiation skills,Procurement"
498,Accountant,Marina for Engineering Industries -,"6th of October, Giza, Egypt ",Full Time,Experienced,1+ Yrs of Exp,"Accounting/Finance,Finance,Accounting,Payroll,Human Resources,Administration,Microsoft Office,Financial Analysis,Computer Skills,Financial Management"
499,Business Analyst,Mubasher -,"Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"Accounting/Finance,IT/Software Development,Analyst/Research,Information Technology (IT),Programming,Stock Market,Back Office,JIRA,Business Analysis"
500,Accountant,office Group -,"Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Financial Analysis"
501,Auditor,Confidential -,"Obour City, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Accounting/Finance,Accounting,Audit,Finance,Financial Analysis,Internal audit,Auditing"
502,Accountant,Fajr Center -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Financial Analysis,Financial Management"
503,General Accountant,Amr Helmy Designs -,"Maadi, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"males_only,Accounting/Finance,Commerce,Accounting,Finance,Financial Management,Financial Analysis,Microsoft Office,Computer Skills,English,AR"
504,Work Study Engineer - Alexandria,Puttmann -,"Ameria, Alexandria, Egypt ",Full Time,Experienced,2+ Yrs of Exp,"Manufacturing/Production,Analyst/Research,Engineering - Other,Manufacturing,Textile Engineer,Engineering,Production,Work Study,Microsoft Office,Garment"
505,Senior Financial Controller,Confidential -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,7+ Yrs of Exp,"Accounting/Finance,Accounting,Finance,Construction,Financial Analysis,Financial Management"
506,ERP System Analyst,Xceed Contact Center -,"Maadi, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Engineering,Oracle,Programming,Software Engineering,SQL,Software Development,Software,System Analysis"
507,Sales Analyst,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"Analyst/Research,Sales/Retail,Analysis,Business Analysis,Communication,ERP,excel,Sales,SQL,Data Analysis"
508,Payable Accountant,Ibn Sina Pharma -,"Obour City, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Accounts Payable,Commerce,Communication,Communication skills,Finance,Financial Analysis,English,MS Office"
509,General Accountant,Interact Technology Solutions -,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance,Banking,accountant,Accounting,Communication,analytical,Documentation,Dynamics,Finance,Microsoft Dynamics"
510,Accountant,Afaqy -,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"females_only,Accounting/Finance,Finance,Accounting,General Ledger,IFRS,Financial Analysis,Financial Management,accountant,Ledger"
511,Financial Manager - El Mohandesin,Confidential -,"Alexandria, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"males_only,Accounting/Finance,Accounting,Analysis,analytical,Budgeting,Communication,CFA,Communication skills,Financial,Financial Analysis"
512,Financial Reporting & Budgeting Manager,GPS -,"Heliopolis, Cairo, Egypt ",Full Time,Manager,8 - 10 Yrs of Exp,"Accounting/Finance,Accounting,Budgeting,Finance,Financial,Financial Analysis,Financial Management,Financial Reporting,Forecasting,Reporting"
513,Manager - Finance Department,eelu -,"Dokki, Giza, Egypt ",Full Time,Manager,10+ Yrs of Exp,"males_preferred,Accounting/Finance,Operations/Management,Financial Management,Accounting,Financial Analysis,Finance,Commerce,Taxation,ERP,English"
514,Senior Accountant,Octane solutions  -,"Cairo, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Banking,Finance,Financial Analysis,General Ledger,Taxes,Accounting,Accounting Software,GAAP,Tax"
515,Business Development Manager,Confidential -,"Cairo, Egypt ",Full Time,Manager,5+ Yrs of Exp,"Business Development,Business Development,Analysis,Communication,Communication skills,Management,Microsoft Office,sales skills,Business Administration,Sales"
516,Quality Assurance Supervisor,Fawry for Banking Technology and Electronic Payments S.A.E -,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Quality,Analyst/Research,Communication,business,Quality Assurance,quality,QA,Management,MIS,Reporting"
517,Account Officer,Ramtrade -,"Assuit, Assiut, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance,Banking,Analyst/Research,Accounting,Accounts Payable,Finance,Microsoft Office,Purchasing,English,analytical"
518,Chief Accountant,4level1 -,"Cairo, Egypt ",Full Time,Manager,5+ Yrs of Exp,"Accounting/Finance,accountant,Accounting,Accounting principles,analytical,chief accountant,excel,Finance,Financial Analysis,Financial Management"
519,Accountant (Females Only),Maxevia Corporate -,"Sheikh Zayed, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"females_only,Accounting/Finance,Administration,Banking,Accounting,Communication,ERP,excel,Finance,Financial,Financial Analysis"
520,Project Financial Manager,COLAS RAIL Egypt -,"Downtown, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Engineering - Construction/Civil/Architecture,Accounting,Analysis,Finance,Financial Analysis,Financial Management,Project Management,Construction,ERP"
521,Chief Accountant (Home Appliances),Confidential -,"New Nozha, Cairo, Egypt ",Full Time,Senior Management,15 - 20 Yrs of Exp,"Accounting/Finance,Operations/Management,C-Level Executive/GM/Director,Finance,Financial Management,Accounting,Financial Analysis,CIMA,CPA,Computer Skills"
522,Senior Tax Accountant,Confidential -,"Obour City, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Accounting/Finance,Banking,Accounting,Auditing,excel,ERP,Finance,Financial,Financial Analysis,Financial Management"
523,Quality Control Engineer - Furniture,Amr Helmy Designs -,"Badr City, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"males_only,Manufacturing/Production,Quality,Engineering - Other,QA,QC,Quality Control,Quality Assurance,Raw Material Recruitments,Statistical Analysis,ERP"
524,Growth Analyst,Cilantro -,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Business Development,Analyst/Research,Business Analysis,Data Analysis,Research Analysis,Financial Data Analysis"
525,Risk Officer,Erada -,"Maadi, Cairo, Egypt ",Full Time,Experienced,4 - 5 Yrs of Exp,"Accounting/Finance,Banking,Analyst/Research,Accounting,Risk Management,Finance,Financial,Financial Analysis,Analysis"
526,Pre Sales Senior Engineer,Al Ahly Momkn for e-payment -,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"IT/Software Development,Presales Engineering,System Analysis"
527,Senior Market Research Analyst,Confidential -,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"Business Development,Marketing/PR/Advertising,Analyst/Research,Market Research,Analysis,Economics,Political Science,E-Marketing,Marketing"
528,Strategy Analyst,B.TECH -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Business Development,Operations/Management,Analyst/Research,Analysis,Business Analysis,Consulting,Economics,Corporate,Market Research,Finance"
529,Assistant Product Manager,Infinity Clinic Pharma -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Marketing/PR/Advertising,Medical/Healthcare,Sales/Retail,Communication skills,English,Pharmacy,Sales,Veterinary,Sales Field,Marketing"
530,Fraud Monitoring Analyst (ORA Bank) - French Speaker,Network International -Egypt -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"Banking,Fraud,Banking,Analysis,French speaker"
531,Accounts Receivable accountant,El Abd Group -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_only,Accounting/Finance,Accounting,Finance,Banking,Accounts Receivable,Financial Analysis,Financial Management"
532,Commercial Analyst,Cairoscan -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Analyst/Research,Sales/Retail,Accounting,Analysis,Analyst,Business Administration,Finance,Data Analysis"
533,Senior tax,Crowe Egypt - Dr Khaled Abdelaziz Hegazy -,"Dokki, Giza, Egypt ",Full Time,Experienced,8 - 10 Yrs of Exp,"Accounting/Finance,Finance,Financial Analysis,Tax,tax accountant,taxation,Tax Accounting"
534,Senior General Accountant,Sidra -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,"Accounting/Finance,Banking,Logistics/Supply Chain,Accounting,excel,Finance,Financial Analysis,Financial Management,GAAP,General Accounting"
535,Accountant,STRUTOO -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Accounting,Accounting Software,Finance,Financial Analysis,General Ledger,Financial Management"
536,Tax Accountant,Confidential -,"New Nozha, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,tax systems,Billing,ERP System,Finance,Financial Analysis,Tax,ERP,Accounting"
537,Hotel CFO,Confidential -,"Sharm Alsheikh, South Sinai, Egypt ",Full Time,Senior Management,15 - 20 Yrs of Exp,"Accounting/Finance,Hospitality/Hotels/Food Services,Hospitality Management,Financial Analysis"
538,Data Analyst,Thaka International -,"Badr City, Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Administration,analytical,Business Administration,Information Technology (IT),Communication skills,business,Computer Science"
539,Accountant,MEC Group for financial services -,"Smouha, Alexandria, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Accounting,Finance,accountant,Financial Management,Financial Analysis"
540,Senior Accountant,Confidential -,"Azarita, Alexandria, Egypt ",Full Time,Experienced,0 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Financial Analysis,Financial Management"
541,Senior Accountant,Toxido -,"Cairo, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,"Accounting/Finance,Accounting,Accounting Software,Financial Analysis,business"
542,Warranty Engineer,Confidential -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"Engineering - Mechanical/Electrical,Warranty,Mechanical Engineering,Engineering,Analysis,Warranty Engineering,Automative,Computer Skills,Automotive"
543,Senior Tax Accountant,TruKKer Misr -,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Accounting/Finance,ERP,Finance,Accounting,Tax,Taxes,Bookkeeping,Accounting Software,Financial Management,Financial Analysis"
544,Chief Accountant - Construction Field,United Group For Engineering And Investment -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,8 - 12 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Accounting Software,English,Tax,CMA,CPA,IFRS,online banking"
545,Data Engineer,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Big Data,AWS,Computer Engineering,Computer Science,Data Science,Design,Engineering"
546,Product Owner,QARA -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,0 - 2 Yrs of Exp,"IT/Software Development,Project/Program Management,Agile,Product Management,Product Owner,Business Analysis,User Stories,Research,User Research,Product Development"
547,Junior Procurement Engineer - Electrical,Solera -,"Cairo, Egypt ",Full Time,Entry Level,2 - 5 Yrs of Exp,"Purchasing/Procurement,Engineering - Mechanical/Electrical,Engineering,Electrical Engineering,Procurement Engineer,Analysis,MS,AutoCAD,Procurement,Purchasing"
548,Financial Analyst,EGMED -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Financial Analysis,Forecasting,Reporting"
549,Accountant,Target Recruitment  & HR Solutions  -,"Smouha, Alexandria, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance,accountant,Accounting,Accounting principles,analytical,Finance,excel,Financial Analysis,Financial Management,General Ledger"
550,Senior Financial Analyst,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Banking,Analyst/Research,Accounting,Analyst,Finance,Financial,Financial Analysis,financial analyst,Financial Management"
551,internal auditor,National Company For Maize Products -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_only,Accounting/Finance,Analyst/Research,Accounting,Auditing,analytical,Auditing standards,auditor,Finance,Financial Analysis,Internal auditor"
552,Financial Controller,Tradex Egypt -,"Badr City, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Accounting/Finance,Administration,Operations/Management,Accounting,Accounting principles,Administration,Finance,Financial Analysis,Financial Management,Accounting Software"
553,Accounts payable accountant,National Company For Maize Products -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_only,Accounting/Finance,Accounts Payable,Finance,Financial Analysis,Oracle,English,Commerce,Accounting"
554,General Accountant,First Grain for Import and Export -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Finance,Commerce,Accounting,Financial Analysis,English,Computer Skills,Microsoft Office,Commercial,Communication Skills"
555,Digital Data Analyst,JoviTronix  -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Analysis,analytical,business,Computer Science,Data,Data Analysis,Google Analytics"
