,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
929,Sales Engineer,OTAK Trading & Contracting -,"Cairo, Egypt ",Full Time,Experienced,2 - 7 Yrs of Exp,"Sales/Retail,Engineering - Mechanical/Electrical,Electrical Engineering,Earthing,Sales Engineering"
930,Front Desk Manager,Lemonspaces -,"Downtown, Cairo, Egypt ",Full Time,Manager,10+ Yrs of Exp,"Administration,Customer Service/Support,Hospitality/Hotels/Food Services,Admin,Administration,Arabic,English,Hospitality,Microsoft Office,MOS"
931,Accountant (Hospitality Industry),Cairo Runners -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Hospitality/Hotels/Food Services,Financial Management,Accounting,Hospitality,F&B"
932,Administrative Assistant,Vetution -,"Mokattam, Cairo, Egypt ",Full Time,Entry Level,1 - 5 Yrs of Exp,"Administration,Human Resources,Project/Program Management,business,Commerce,Project Management,Secretary,Office management"
933,Senior ASO''s Development Engineer,Mansour Automotive -,"Cairo, Egypt ",Full Time,Not specified,Business Development,"IT/Software Development,Engineering - Telecom/Technology,Engineering,Information Technology (IT),Computer Science,Software Development,Software Engineering,Business Development,SQL"
934,Technical Office Engineer,Emdad Recruitment -,"Cairo, Egypt ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"IT/Software Development,Engineering - Mechanical/Electrical,Engineering,AutoCAD,Technical Office,Microsoft Office,Civil Engineering,Information Technology (IT),Architecture"
935,Local Purchasing Specialist,Samaya Electronics Egypt LTD -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Logistics/Supply Chain,Purchasing/Procurement,Procurement,Purchasing,buyer"
936,Foreign Purchasing Specialist,Samaya Electronics Egypt LTD -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Logistics/Supply Chain,Purchasing/Procurement,Procurement,Purchasing,buyer"
937,"Professional, DTC Merchandising","Under Armour, Inc. -","Alexandria, Egypt ",Full Time,Not specified,Customer Service/Support,"Marketing/PR/Advertising,Sales/Retail,sales,sales skills,sales target,customer service,marketing,retail,management"
938,Tendering Engineer- Architecture,Jidaar Construction -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Engineering - Construction/Civil/Architecture,architectural,Architectural Engineering,Architecture,Tendering,Construction,Cost Estimation,English,Cost"
